nacekode	beskrivelse1	beskrivelse2
23.320	Produksjon av murstein, teglstein og andre byggevarer av brent leire	
23.410	Produksjon av keramiske husholdningsartikler og dekorasjonsgjenstander	
23.420	Produksjon av sanitærutstyr av keramisk materiale	
23.430	Produksjon av isolatorer og isoleringsdeler av keramisk materiale	
23.440	Produksjon av andre keramiske produkter for teknisk bruk	
23.490	Produksjon av andre keramiske produkter	
23.510	Produksjon av sement	
23.520	Produksjon av kalk og gips	
23.610	Produksjon av betongprodukter for bygge- og anleggsvirksomhet	
23.620	Produksjon av gipsprodukter for bygge- og anleggsvirksomhet	
23.630	Produksjon av ferdigblandet betong	
23.640	Produksjon av mørtel	
23.650	Produksjon av fibersement	
23.690	Produksjon av betong-, sement- og gipsprodukter ellers	
23.700	Hogging og bearbeiding av monument- og bygningsstein	
23.910	Produksjon av slipestoffer	
23.990	Produksjon av ikke-metallholdige mineralprodukter ikke nevnt annet	sted
24.101	Produksjon av jern og stål	
24.102	Produksjon av ferrolegeringer	
24.200	Produksjon av andre rør og rørdeler av stål	
24.310	Kaldtrekking av stenger og profiler	
24.320	Kaldvalsing av bånd	
24.330	Kaldvalsing og pressing av profilerte plater og profiler	
24.340	Kaldtrekking av tråd	
24.410	Produksjon av edelmetaller	
24.421	Produksjon av primæraluminium	
24.422	Produksjon av halvfabrikater av aluminium	
24.430	Produksjon av bly, sink og tinn	
24.440	Produksjon av kobber	
24.450	Produksjon av ikke-jernholdige metaller ellers	
24.460	Produksjon av kjernebrensel	
24.510	Støping av jern	
24.520	Støping av stål	
24.530	Støping av lettmetaller	
24.540	Støping av andre ikke-jernholdige metaller	
25.110	Produksjon av metallkonstruksjoner og deler	
25.120	Produksjon av dører og vinduer av metall	
25.210	Produksjon av radiatorer og kjeler til sentralvarmeanlegg	
25.290	Produksjon av andre tanker, cisterner og beholdere av metall	
25.300	Produksjon av dampkjeler, unntatt kjeler til sentralvarmeanlegg	
25.400	Produksjon av våpen og ammunisjon	
25.500	Smiing, stansing og valsing av metall, og pulvermetallurgi	
25.610	Overflatebehandling av metaller	
25.620	Bearbeiding av metaller	
25.710	Produksjon av kjøkkenredskaper og skjære- og klipperedskaper	
25.720	Produksjon av låser og beslag	
25.730	Produksjon av håndverktøy	
25.910	Produksjon av stålfat og lignende beholdere av jern og stål	
25.920	Produksjon av emballasje av lettmetall	
25.930	Produksjon av varer av metalltråd, kjetting og fjærer	
25.940	Produksjon av bolter og skruer	
25.990	Produksjon av metallvarer ikke nevnt annet sted	
26.110	Produksjon av elektroniske komponenter	
26.120	Produksjon av kretskort	
26.200	Produksjon av datamaskiner og tilleggsutstyr	
26.300	Produksjon av kommunikasjonsutstyr	
26.400	Produksjon av elektronikk til husholdningsbruk	
26.510	Produksjon av måle-, kontroll- og navigasjonsinstrumenter	
26.520	Produksjon av klokker og ur	
26.600	Produksjon av strålingsutstyr, elektromedisinsk- og elektroterapeutisk	utstyr
26.700	Produksjon av optiske instrumenter og fotografisk utstyr	
26.800	Produksjon av magnetiske og optiske media	
27.110	Produksjon av elektromotorer, generatorer og transformatorer	
27.120	Produksjon av elektriske fordelings- og kontrolltavler og paneler	
27.200	Produksjon av batterier og akkumulatorer	
27.310	Produksjon av optiske fiberkabler	
27.320	Produksjon av andre elektroniske og elektriske ledninger og kabler	
27.330	Produksjon av ledningsmateriell	
27.400	Produksjon av belysningsutstyr	
27.510	Produksjon av elektriske husholdningsmaskiner og -apparater	
27.520	Produksjon av ikke-elektriske husholdningsmaskiner og -apparater	
27.900	Produksjon av annet elektrisk utstyr	
28.110	Produksjon av motorer og turbiner, unntatt motorer til luftfartøyer og	motorvogner
28.120	Produksjon av komponenter til hydraulisk og pneumatisk utstyr	
28.130	Produksjon av pumper og kompressorer ellers	
28.140	Produksjon av kraner og ventiler ellers	
28.150	Produksjon av lagre, gir, tannhjulsutvekslinger og andre innretninger	for kraftoverføring
28.210	Produksjon av industri- og laboratorieovner samt brennere	
28.221	Produksjon av løfte- og håndteringsutstyr til skip og båter	
28.229	Produksjon av løfte- og håndteringsutstyr ellers	
28.230	Produksjon av kontormaskiner og utstyr (unntatt datamaskiner og	tilleggsutstyr)
28.240	Produksjon av motordrevet håndverktøy	
28.250	Produksjon av kjøle- og ventilasjonsanlegg, unntatt til	husholdningsbruk
28.290	Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet	sted
28.300	Produksjon av jordbruks- og skogbruksmaskiner	
28.410	Produksjon av maskinverktøy til metallbearbeiding	
28.490	Produksjon av maskinverktøy ikke nevnt annet sted	
28.910	Produksjon av maskiner og utstyr til metallurgisk industri	
28.920	Produksjon av maskiner og utstyr til bergverksdrift og bygge- og	anleggsvirksomhet
28.930	Produksjon av maskiner og utstyr til nærings- og	nytelsesmiddelindustri
28.940	Produksjon av maskiner og utstyr til tekstil-, konfeksjons- og lærvare	industri
28.950	Produksjon av maskiner og utstyr til papir- og pappvareindustri	
28.960	Produksjon av maskiner og utstyr til plast- og gummiindustri	
28.990	Produksjon av spesialmaskiner ikke nevnt annet sted	
29.100	Produksjon av motorvogner	
29.200	Produksjon av karosserier og tilhengere	
29.310	Produksjon av elektrisk og elektronisk utstyr til motorvogner	
29.320	Produksjon av andre deler og annet utstyr til motorvogner	
30.111	Bygging av skip og skrog over 100 br.tonn	
30.112	Bygging av skip under 100 br.tonn	
30.113	Bygging av oljeplattformer og moduler	
30.114	Produksjon av annet flytende materiell	
30.115	Innrednings- og installasjonsarbeid utført på skip over 100 br.tonn	
30.116	Innrednings- og installasjonsarbeid utført på borerigger og moduler	
30.120	Bygging av fritidsbåter	
30.200	Produksjon av lokomotiver og annet rullende materiell til jernbane og	sporvei
30.300	Produksjon av luftfartøyer og romfartøyer og lignende utstyr	
30.400	Produksjon av militære stridskjøretøyer	
30.910	Produksjon av motorsykler	
30.920	Produksjon av sykler og invalidevogner	
30.990	Produksjon av andre transportmidler ikke nevnt annet sted	
31.010	Produksjon av kontor- og butikkmøbler	
31.020	Produksjon av kjøkkenmøbler	
31.030	Produksjon av madrasser	
31.090	Produksjon av møbler ellers	
32.110	Preging av mynter og medaljer	
32.120	Produksjon av gull- og sølvvarer og lignende artikler	
32.130	Produksjon av bijouteri og lignende artikler	
32.200	Produksjon av musikkinstrumenter	
32.300	Produksjon av sportsartikler	
32.400	Produksjon av spill og leker	
32.500	Produksjon av medisinske og tanntekniske instrumenter og utstyr	
32.910	Produksjon av koster og børster	
32.990	Annen industriproduksjon ikke nevnt annet sted	
33.110	Reparasjon av bearbeidede metallprodukter	
33.120	Reparasjon av maskiner	
33.130	Reparasjon av elektronisk og optisk utstyr	
33.140	Reparasjon av elektrisk utstyr	
33.150	Reparasjon og vedlikehold av skip og båter	
33.160	Reparasjon og vedlikehold av luftfartøyer og romfartøyer	
33.170	Reparasjon og vedlikehold av andre transportmidler	
33.190	Reparasjon av annet utstyr	
33.200	Installasjon av industrimaskiner og -utstyr	
35.111	Produksjon av elektrisitet fra vannkraft	
35.112	Produksjon av elektrisitet fra vindkraft	
35.113	Produksjon av elektrisitet fra biobrensel, avfallsforbrenning og	deponigass
35.114	Produksjon av elektrisitet fra naturgass	
35.119	Produksjon av elektrisitet ellers	
35.120	Overføring av elektrisitet	
35.130	Distribusjon av elektrisitet	
35.140	Handel med elektrisitet	
35.210	Produksjon av gass	
35.220	Distribusjon av gass gjennom ledningsnett	
35.230	Handel med gass gjennom ledningsnett	
35.300	Damp- og varmtvannsforsyning	
36.000	Uttak fra kilde, rensing og distribusjon av vann	
37.000	Oppsamling og behandling av avløpsvann	
38.110	Innsamling av ikke-farlig avfall	
38.120	Innsamling av farlig avfall	
38.210	Behandling og disponering av ikke-farlig avfall	
38.220	Behandling og disponering av farlig avfall	
38.310	Demontering av vrakede gjenstander	
38.320	Sortering og bearbeiding av avfall for materialgjenvinning	
39.000	Miljørydding, miljørensing og lignende virksomhet	
41.101	Boligbyggelag	
41.109	Utvikling og salg av egen fast eiendom ellers	
41.200	Oppføring av bygninger	
42.110	Bygging av veier og motorveier	
42.120	Bygging av jernbaner og undergrunnsbaner	
42.130	Bygging av bruer og tunneler	
42.210	Bygging av vann- og kloakkanlegg	
42.220	Bygging av anlegg for elektrisitet og telekommunikasjon	
42.910	Bygging av havne- og damanlegg	
42.990	Bygging av andre anlegg ikke nevnt annet sted	
43.110	Riving av bygninger og andre konstruksjoner	
43.120	Grunnarbeid	
43.130	Prøveboring	
43.210	Elektrisk installasjonsarbeid	
43.290	Annet installasjonsarbeid	
43.310	Stukkatørarbeid og pussing	
43.320	Snekkerarbeid	
43.330	Gulvlegging og tapetsering	
43.341	Malerarbeid	
43.342	Glassarbeid	
43.390	Annen ferdiggjøring av bygninger	
43.911	Blikkenslagerarbeid på tak	
43.919	Takarbeid ellers	
43.990	Annen spesialisert bygge- og anleggsvirksomhet	
45.111	Agentur- og engroshandel med biler og lette motorvogner, unntatt	motorsykler
45.112	Detaljhandel med biler og lette motorvogner, unntatt motorsykler	
45.191	Agentur- og engroshandel med andre motorvogner, unntatt motorsykler	
45.192	Detaljhandel med andre motorvogner, unntatt motorsykler	
45.200	Vedlikehold og reparasjon av motorvogner, unntatt motorsykler	
45.310	Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt	motorsykler
45.320	Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler	
45.401	Agentur- og engroshandel med motorsykler, deler og utstyr	
45.402	Detaljhandel med motorsykler, deler og utstyr	
45.403	Vedlikehold og reparasjon av motorsykler	
46.110	Agenturhandel med jordbruksråvarer, levende dyr, tekstilråvarer og	innsatsvarer
46.120	Agenturhandel med brensel, drivstoff, malm, metaller og	industrikjemikalier
46.130	Agenturhandel med tømmer, trelast og byggevarer	
46.140	Agenturhandel med maskiner, produksjonsutstyr, båter og luftfartøyer	
46.150	Agenturhandel med møbler, husholdningsvarer og jernvarer	
46.160	Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer	
46.170	Agenturhandel med nærings- og nytelsesmidler	
46.180	Agenturhandel med spesialisert vareutvalg ellers	
46.190	Agenturhandel med bredt vareutvalg	
46.210	Engroshandel med korn, råtobakk, såvarer og fôrvarer	
46.220	Engroshandel med blomster og planter	
46.230	Engroshandel med levende dyr	
46.240	Engroshandel med huder, skinn og lær	
46.310	Engroshandel med frukt og grønnsaker	
46.320	Engroshandel med kjøtt og kjøttvarer	
46.330	Engroshandel med meierivarer, egg, matolje og -fett	
46.341	Engroshandel med vin og brennevin	
46.349	Engroshandel med drikkevarer ellers	
46.350	Engroshandel med tobakksvarer	
46.360	Engroshandel med sukker, sjokolade og sukkervarer	
46.370	Engroshandel med kaffe, te, kakao og krydder	
46.381	Engroshandel med fisk, skalldyr og bløtdyr	
46.389	Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler	ikke nevnt annet sted
46.390	Engroshandel med bredt utvalg av nærings- og nytelsesmidler	
46.410	Engroshandel med tekstiler og utstyrsvarer	
46.421	Engroshandel med klær	
46.422	Engroshandel med skotøy	
46.431	Engroshandel med elektriske husholdningsapparater og -maskiner	
46.432	Engroshandel med radio og fjernsyn	
46.433	Engroshandel med plater, musikk- og videokassetter og CD- og	DVD-plater
46.434	Engroshandel med fotoutstyr	
46.435	Engroshandel med optiske artikler	
46.441	Engroshandel med kjøkkenutstyr, glass og steintøy	
46.442	Engroshandel med rengjøringsmidler	
46.450	Engroshandel med parfyme og kosmetikk	
46.460	Engroshandel med sykepleie- og apotekvarer	
46.471	Engroshandel med møbler	
46.472	Engroshandel med gulvtepper	
46.473	Engroshandel med belysningsutstyr	
46.481	Engroshandel med klokker og ur	
46.482	Engroshandel med gull- og sølvvarer	
46.491	Engroshandel med bøker, aviser og blader	
46.492	Engroshandel med reiseeffekter og lærvarer	
46.493	Engroshandel med fritidsbåter og -utstyr	
46.494	Engroshandel med sportsutstyr	
46.495	Engroshandel med spill og leker	
46.499	Engroshandel med husholdningsvarer og varer til personlig bruk ikke	nevnt annet sted
46.510	Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt	programvare
46.520	Engroshandel med elektronikkutstyr og telekommunikasjonsutstyr samt	deler
46.610	Engroshandel med maskiner og utstyr til jordbruk og skogbruk	
46.620	Engroshandel med maskinverktøy	
46.630	Engroshandel med maskiner og utstyr til bergverksdrift, olje- og	gassutvinning og bygge- og anleggsvirksomhet
46.640	Engroshandel med maskiner og utstyr til tekstilproduksjon	
46.650	Engroshandel med kontormøbler	
46.660	Engroshandel med maskiner og utstyr til kontor ellers	
46.691	Engroshandel med maskiner og utstyr til kraftproduksjon og	installasjon
46.692	Engroshandel med skipsutstyr og fiskeredskap	
46.693	Engroshandel med maskiner og utstyr til industri ellers	
46.694	Engroshandel med maskiner og utstyr til handel, transport og	tjenesteyting ellers
46.710	Engroshandel med drivstoff og brensel	
46.720	Engroshandel med metaller og metallholdig malm	
46.731	Engroshandel med tømmer	
46.732	Engroshandel med trelast	
46.733	Engroshandel med fargevarer	
46.739	Engroshandel med byggevarer ikke nevnt annet sted	
46.740	Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr	
46.750	Engroshandel med kjemiske produkter	
46.761	Engroshandel med papir og papp	
46.769	Engroshandel med innsatsvarer ikke nevnt annet sted	
46.770	Engroshandel med avfall og skrap	
46.900	Uspesifisert engroshandel	
47.111	Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og	nytelsesmidler
47.112	Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og	nytelsesmidler
47.190	Butikkhandel med bredt vareutvalg ellers	
47.210	Butikkhandel med frukt og grønnsaker	
47.220	Butikkhandel med kjøtt og kjøttvarer	
47.230	Butikkhandel med fisk, skalldyr og bløtdyr	
47.241	Butikkhandel med bakervarer og konditorvarer	
47.242	Butikkhandel med sukkervarer	
47.251	Butikkhandel med vin og brennevin	
47.259	Butikkhandel med drikkevarer ellers	
47.260	Butikkhandel med tobakksvarer	
47.291	Butikkhandel med helsekost	
47.292	Butikkhandel med kaffe og te	
47.299	Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted	
47.300	Detaljhandel med drivstoff til motorvogner	
47.410	Butikkhandel med datamaskiner og utstyr til datamaskiner	
47.420	Butikkhandel med telekommunikasjonsutstyr	
47.430	Butikkhandel med audio- og videoutstyr	
47.510	Butikkhandel med tekstiler og utstyrsvarer	
47.521	Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre	byggevarer
47.522	Butikkhandel med jernvarer	
47.523	Butikkhandel med fargevarer	
47.524	Butikkhandel med trelast	
47.529	Butikkhandel med byggevarer ikke nevnt annet sted	
47.531	Butikkhandel med tapeter og gulvbelegg	
47.532	Butikkhandel med tepper	
47.533	Butikkhandel med gardiner	
47.540	Butikkhandel med elektriske husholdningsapparater	
47.591	Butikkhandel med møbler	
47.592	Butikkhandel med belysningsutstyr	
47.593	Butikkhandel med kjøkkenutstyr, glass og steintøy	
47.594	Butikkhandel med musikkinstrumenter og noter	
47.599	Butikkhandel med innredningsartikler ikke nevnt annet sted	
47.610	Butikkhandel med bøker	
47.620	Butikkhandel med aviser og papirvarer	
47.630	Butikkhandel med innspillinger av musikk og video	
47.641	Butikkhandel med sportsutstyr	
47.642	Butikkhandel med fritidsbåter og -utstyr	
47.650	Butikkhandel med spill og leker	
47.710	Butikkhandel med klær	
47.721	Butikkhandel med skotøy	
47.722	Butikkhandel med reiseeffekter av lær og lærimitasjoner og varer av	lær
47.730	Butikkhandel med apotekvarer	
47.740	Butikkhandel med medisinske og ortopediske artikler	
47.750	Butikkhandel med kosmetikk og toalettartikler	
47.761	Butikkhandel med blomster og planter	
47.762	Butikkhandel med kjæledyr og fôr til kjæledyr	
47.771	Butikkhandel med ur og klokker	
47.772	Butikkhandel med gull- og sølvvarer	
47.781	Butikkhandel med fotoutstyr	
47.782	Butikkhandel med optiske artikler	
47.789	Butikkhandel ikke nevnt annet sted	
47.791	Butikkhandel med antikviteter	
47.792	Butikkhandel med brukte klær	
47.799	Butikkhandel med brukte varer ellers	
47.810	Torghandel med næringsmidler, drikkevarer og tobakksvarer	
47.820	Torghandel med tekstiler, klær, skotøy og utstyrsvarer	
47.890	Torghandel med andre varer	
47.911	Postordre-/Internetthandel med bredt vareutvalg	
47.912	Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy,	reiseeffekter og lærvarer
47.913	Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler	og innredningsartikler
47.914	Postordre-/Internetthandel med elektriske husholdningsapparater,	radio, fjernsyn, plater, kassetter og musikkinstrumenter
47.915	Postordre-/Internetthandel med bøker, papir, aviser og blader	
47.916	Postordre-/Internetthandel med IKT-utstyr	
47.917	Postordre-/Internetthandel med helsekost	
47.919	Postordre-/Internetthandel med annet spesialisert vareutvalg	
47.990	Detaljhandel utenom utsalgssted ellers	
49.100	Passasjertransport med jernbane	
49.200	Godstransport med jernbane	
49.311	Rutebiltransport i by- og forstadsområde	
49.312	Transport med sporveis- og forstadsbane	
49.320	Drosjebiltransport	
49.391	Rutebiltransport utenfor by- og forstadsområde	
49.392	Turbiltransport	
49.393	Transport med taubaner, kabelbaner og skiheiser	
49.410	Godstransport på vei	
49.420	Flyttetransport	
49.500	Rørtransport	
50.101	Utenriks sjøfart med passasjerer	
50.102	Innenlandske kystruter med passasjerer	
50.109	Kysttrafikk ellers med passasjerer	
50.201	Utenriks sjøfart med gods	
50.202	Innenriks sjøfart med gods	
50.203	Slepebåter	
50.204	Forsyning og andre sjøtransporttjenester for offshore	
50.300	Passasjertransport på elver og innsjøer	
50.400	Godstransport på elver og innsjøer	
51.100	Lufttransport med passasjerer	
51.210	Lufttransport med gods	
51.220	Romfart	
52.100	Lagring	
52.211	Drift av gods- og transportsentraler	
52.212	Drift av parkeringsplasser og parkeringshus	
52.213	Drift av bomstasjoner	
52.214	Drift av taxisentraler og annen formidling av persontransport	
52.219	Tjenester tilknyttet landtransport ellers	
52.221	Drift av havne- og kaianlegg	
52.222	Redningstjeneste	
52.223	Forsyningsbaser	
52.229	Tjenester tilknyttet sjøtransport ellers	
52.230	Andre tjenester tilknyttet lufttransport	
52.240	Lasting og lossing	
52.291	Spedisjon	
52.292	Skipsmegling	
52.293	Flymegling	
52.299	Transportformidling ellers	
53.100	Landsdekkende posttjenester	
53.200	Andre post- og budtjenester	
55.101	Drift av hoteller, pensjonater og moteller med restaurant	
55.102	Drift av hoteller, pensjonater og moteller uten restaurant	
55.201	Drift av vandrerhjem	
55.202	Drift av ferieleiligheter	
55.900	Annen overnatting	
56.101	Drift av restauranter og kafeer	
56.102	Drift av gatekjøkken	
56.210	Cateringvirksomhet	
56.290	Kantiner drevet som selvstendig virksomhet	
56.301	Drift av puber	
56.309	Drift av barer ellers	
58.110	Utgivelse av bøker	
58.120	Utgivelse av kataloger og adresselister	
58.130	Utgivelse av aviser	
58.140	Utgivelse av blader og tidsskrifter	
58.190	Forlagsvirksomhet ellers	
58.210	Utgivelse av programvare for dataspill	
58.290	Utgivelse av annen programvare	
59.110	Produksjon av film, video og fjernsynsprogrammer	
59.120	Etterarbeid knyttet til produksjon av film, video og fjernsynsprogramm	er
59.130	Distribusjon av film, video og fjernsynsprogrammer	
59.140	Filmframvisning	
59.200	Produksjon og utgivelse av musikk- og lydopptak	
60.100	Radiokringkasting	
60.200	Fjernsynskringkasting	
61.100	Kabelbasert telekommunikasjon	
61.200	Trådløs telekommunikasjon	
61.300	Satellittbasert telekommunikasjon	
61.900	Telekommunikasjon ellers	
62.010	Programmeringstjenester	
62.020	Konsulentvirksomhet tilknyttet informasjonsteknologi	
62.030	Forvaltning og drift av IT-systemer	
